Ivory Coast,10592,3530
Uzbekistan,12252,4084
Somalia,1200,400
Eswatini,7351,2450
Puerto Rico,144000,48000
Solomon Islands,15596,4718
North Macedonia,34496,11499
Kosovo,26056,8685
Réunion,152144,50715
Mayotte,22557,7519
Cape Verde,5380,1793
Bhutan,18784,6261
Western Sahara,3750,1250
Vanuatu,16374,4953
French Guiana,77520,25840
Macau,524420,174806
Guadeloupe,67176,22392
New Caledonia,194520,64840
French Polynesia,118000,39333
Martinique,64714,21904
Kiribati,9087,3029
Guam,216000,72000
Tonga,44014,15409
Saint Lucia,27268,8407
Grenada,52618,16222
Saint Vincent and the Grenadines,18887,5823
United States Virgin Islands,118518,39506
Jersey,430000,143000
Antigua and Barbuda,19338,5962
Dominica,35307,10885
Marshall Islands,20088,6696
Faroe Islands,450000,150000
Greenland,335332,111777
American Samoa,70650,23550
Samoa,17396,6090
Aruba,52221,16100
Isle of Man,610000,203333
Cayman Islands,582332,194111
Guernsey,383600,127867
Northern Mariana Islands,150000,50000
Saint Kitts and Nevis,45000,15000
Andorra,262370,87457
Turks and Caicos Islands,63000,21000
Bermuda,948720,316240
Saint Martin,87000,29000
Liechtenstein,1264395,421465
Gibraltar,700000,233333
Nauru,93592,31197
Sint Maarten,61094,20364
Monaco,1454622,484874
Caribbean Netherlands,84000,28000
Cook Islands,79314,26438
Palau,77804,25934
Tuvalu,23340,7780
British Virgin Islands,152228,50742
San Marino,311340,103780
Anguilla,26510,8837
Wallis and Futuna,18000,6000
Saint Barthélemy,306000,102000
Saint Pierre and Miquelon,210000,70000
Falkland Islands,369200,123067
"Saint Helena, Ascension and Tristan da Cunha",24000,8000
Montserrat,42246,14082
Tokelau,31500,10500
Niue,72000,24000
Guatemala,24594,8198
Honduras,13929,4643
North Korea,3724,1241
South Sudan,2204,735
Dominican Republic,40122,13374
Cuba,38547,12849
Curaçao,66438,22146
Palestine,19395,8620